Time,Temperature,Humidity,Roll,Pitch,Yaw
6,32.2047,27.49686,(-0.003662109,-0.006225586, 1.016235)
11,32.27977,27.51212,(-0.005859375,-0.008666992, 1.010376)
16,32.27977,27.51212,(-0.003051758,-0.007446289, 1.011353)
21,32.27977,27.49686,(-0.003295898,-0.006958008, 1.015381)
26,32.26905,27.52738,(-0.002685547,-0.004882813, 1.018799)
31,32.26905,27.51212,(-0.002197266,-0.005493164, 1.014648)
36,32.2476,27.51975,(-0.002319336,-0.007446289, 1.012451)
41,32.31195,27.54263,(-0.006469727,-0.006469727, 1.014282)
46,32.2476,27.52738,(-0.001220703,-0.007080078, 1.01123)
51,32.17252,27.55789,(-0.006713867,-0.004638672, 1.013428)
56,32.2047,27.60367,(-0.004150391,-0.006347656, 1.011963)
61,32.2047,27.64945,(-0.004760742,-0.008789063, 1.013428)
66,32.18325,27.67233,(-0.002807617,-0.004882813, 1.010254)
71,32.1618,27.71048,(-0.002807617,-0.004272461, 1.015991)
76,32.1189,27.741,(-0.004150391,-0.007202148, 1.011719)
81,32.15107,27.7944,(-0.003540039,-0.008544922, 1.019287)
86,32.10817,27.7944,(-0.002929688,-0.009033203, 1.015747)
91,32.08672,27.81729,(-0.003173828,-0.00769043, 1.01416)
96,32.10817,27.84018,(-0.00402832,-0.00390625, 1.014282)
101,32.14034,27.86307,(-0.005126953,-0.006469727, 1.012329)
106,32.12962,27.85544,(-0.00378418,-0.006958008, 1.01709)
111,32.12962,27.86307,(-0.005981445,-0.005249023, 1.012695)
116,32.14034,27.84781,(-0.006469727,-0.007324219, 1.015259)
121,32.14034,27.84018,(-0.002563477,-0.005859375, 1.011475)
126,32.12962,27.83255,(-0.004394531,-0.005859375, 1.009033)
131,32.12962,27.84018,(-0.002929688,-0.008544922, 1.015015)
136,32.10817,27.84018,(-0.005004883,-0.006835938, 1.011108)
141,32.09744,27.84781,(-0.002197266,-0.007568359, 1.01062)
146,32.10817,27.86307,(-0.005004883,-0.005126953, 1.012817)
151,32.076,27.85544,(-0.005371094,-0.006347656, 1.014404)
156,32.08672,28.02329,(-0.003662109,-0.004150391, 1.015259)
161,32.12962,28.16061,(-0.003173828,-0.007324219, 1.012329)
166,32.14034,28.1835,(-0.003295898,-0.009033203, 1.011841)
171,32.1618,28.16061,(-0.004760742,-0.004516602, 1.013672)
176,32.18325,28.09195,(-0.003173828,-0.006347656, 1.014282)
181,32.1189,28.03092,(-0.004760742,-0.005615234, 1.012451)
186,32.12962,27.99277,(-0.001831055,-0.007446289, 1.013062)
191,32.1189,27.95462,(-0.001831055,-0.005859375, 1.012207)
196,32.05454,27.93173,(-0.005859375,-0.008422852, 1.012329)
201,32.0331,27.94699,(-0.001342773,-0.006713867, 1.012329)
206,32.02237,27.96225,(-0.003540039,-0.007202148, 1.014404)
211,32.02237,27.96988,(-0.003417969,-0.004272461, 1.012329)
216,32.02237,27.98514,(-0.005859375,-0.00793457, 1.017944)
221,32.02237,27.99277,(-0.004272461,-0.004638672, 1.011597)
226,31.9902,27.99277,(-0.002441406,-0.003540039, 1.015259)
231,31.9902,28.02329,(-0.002685547,-0.007080078, 1.013428)
236,31.9902,28.03854,(-0.004150391,-0.0078125, 1.008057)
241,31.95802,28.04617,(-0.002197266,-0.006347656, 1.014526)
246,31.92584,28.0538,(-0.004394531,-0.007202148, 1.012817)
1,32.2476,27.49686,(-0.004150391,-0.00769043, 1.015137)